4201,Pirates of the Caribbean: At World's End,2007,3.8,1768593
53125,Pirates of the Caribbean: At World's End,2007,3.8,1768593
54001,Harry Potter and the Order of the Phoenix,2007,3.9,1449179
56757,Sweeney Todd: The Demon Barber of Fleet Street,2007,3.9,1391688
53121,Shrek the Third,2007,3.4,1369685
54286,The Bourne Ultimatum,2007,4.1,1312487
54272,The Simpsons Movie,2007,3.7,1305720
8972,National Treasure: Book of Secrets,2007,3.6,1237906
56775,National Treasure: Book of Secrets,2007,3.6,1237906
52722,Spider-Man 3,2007,3.3,1192712
